LncRNA name	Synonyms	geneid	ensg_name	refseq_id	position	cancer type	ICD-0-3	ICD-0-3	methods	sample	regulated	function description	pubmed id	year	title	drug	circulating	survival	miR	variant	TF	methylation
AC009014.3	AC009014.3, LOC389332, NR_024418	NA	NA	NA	NA	clear cell renal cell carcinoma	C64.9	M8005/0	microarray, qPCR etc.	ccRCC tissues	down-regulated	ENST00000456816, X91348, BC029135, NR_024418 were evaluated by qPCR in sixty-three pairs of RCCC and NT samples. The results demonstrated that ENST00000456816, X91348 were up-regulated and BC029135, NR_024418 were down-regulated in RCCC samples compared with NT samples.	22879955	2012	LncRNAs expression signatures of renal clear cell carcinoma revealed by microarray.	0	0	0	0	0	0	0
AC010761.9	NA	NA	ENSG00000265073	NA	GRCh38_17:28732963-28743102	gastric adenocarcinoma	C16	M8140/3	microarray, qPCR etc.	GA tissues, cell lines (MGC803, BGC823, and SGC7901)	up-regulated	AC010761.9  was related to tumor size, degree  of differentiation , and serum carbohydrate antigen (and carcinoembryonic antigen (CEA) concentrations. Multivariate analysis further confirmed that the expression of lncRNA AC010761.9 was related to the degree of tumor differentiation. Additionally, the expression of lncRNA AC010761.9 had a positive correlation with the mRNA expression of the potentially associated gene (TRAF4) in GA tissues .LncRNA AC010761.9 may be linked to GA progression and is a potential new biomarker for GA.  	29499718	2018	Evaluation of the expression and clinical value of lncRNA AC010761.9 in human gastric adenocarcinoma. 	0	0	0	0	0	0	0
AC012065.7	NA	NA	ENSG00000279307	NA	GRCh38_2:20529467-20529976	chronic lymphocytic leukemia	NA	M9823/3	qPCR, etc.	CLL peripheral blood mononuclear cells, CLL cell lines (HG3, MEC2), Burkitt lymphoma B cell line (RAMOS)	differential expression	Finally, two novel lncRNAs (hypermethylated CRNDE and hypomethylated AC012065.7) were validated in an independent CLL sample cohort (48 samples) compared with 6 normal sorted B cell samples using quantitative pyrosequencing analysis.The methylation levels showed an inverse correlation to gene expression levels analyzed by real-time quantitative PCR. Notably, survival analysis revealed that hypermethylation of CRNDE and hypomethylation of AC012065.8 correlated with an inferior outcome	27777635	2016	Global DNA methylation profiling reveals new insights into epigenetically deregulated protein coding and long noncoding RNAs in CLL	0	1	1	0	0	0	1
AC013264.2	AC013264.2, LOC101927596	NA	ENSG00000231621	NA	GRCh38_2:197197991-197199273	non small cell lung cancer	C34	M8046/3	microarray, qPCR etc.	NSCLC tissues	down-regulated	we initially identified a number of significant candidate lncRNAs (including GUCY1B2, RP11-385J1.2, AC018865.8, RP11-909N17.3, GNAS-AS1, TUBA4B, Z82214.3, XLOC_000371, AC013264.2 and RP1-317E23.3) and verified the expression of these lncRNAs by RT-qPCR with GAPDH as the reference gene, by calculating the 2-CT values.	25394782	2014	Detection of long-chain non-encoding RNA differential expression in non-small cell lung cancer by microarray analysis and preliminary verification.	0	0	1	0	0	0	0
AC016735.2	NA	112441441	ENSG00000233978	NA	GRCh38_2:43027853-43039547	gastric cancer	C16	NA	qPCR etc.	gastric cancer tissues	up-regulated	The RT qPCR validation confirmed that AC016735.2, AP001626.1 and RP11 400N13.3 were upregulated, whereas RP11 243M5.2, RP11 400N13.2, LINC01139 and RP11 54H7.4 were downregulated in GC tissues compared with normal adjacent tissues. It is of note that although upregulation and downregulation were detected, no significant difference was identified. The findings of AC016735.2, AP001626.1, RP11 400N13.3 and RP11 243M5.2 were considered to be consistent with the predicted lncRNAs in the bioinformatics analysis. 	29693709	2018	Identification of differential expression lncRNAs in gastric cancer using transcriptome sequencing and bioinformatics analyses.	0	0	0	0	0	0	0
AC023115.3	NA	NA	ENSG00000236605	NA	GRCh38_2:67324627-67325304	glioblastoma	NA	M9440/3	qPCR, westen blot, microarray etc.	cell lines (U87MG and U251MG)	down-regulated	AC023115.3 was preferentially enriched in the Ago2-containing microRNA ribonucleoprotein complexes (miRNPs) compared with the immunoprecipitates with control IgG,indicating that AC023115.3 is present in the Ago2-containing miRNPs likely through an association with microRNAs. AC023115.3 was induced by cisplatin and suppressed glioma chemoresistance.AC023115.3 inhibited cisplatin-induced autophagy. AC023115.3 promoted cisplatin-induced apoptosis via decreasing autophagy. AC023115.3 acted as a miR-26a sponge and inhibited its activity. AC023115.3 sensitized glioma cell to cisplatin-induced apoptosis through regulation of the miR-26a-GSK3B-Mcl1 signalling.	28499919	2017	Long non-coding RNA AC023115.3 suppresses chemoresistance of glioblastoma by reducing autophagy	1	0	0	1	0	0	0
AC024560.2	RP11-496H1.1	NA	ENSG00000249626	NA	GRCh38_3:197660565-197665757	cervical cancer	C53	NA	microarray, qPCR etc.	cervical cancer tissues	differential expression	To validate the results of data mining and determine the clinical relevance of lncRNA dysregulation, we detected the expression levels of the above four lncRNAs in 35 clinical tissues with and without pelvic lymph node metastasis (PLNM) by qRT-PCR. The qRT-PCR result was consistent with our analysis, in that expression of all 4 lncRNAs had statistical difference with the same trend.	27035672	2016	Characterization of long non-coding RNA expression profiles in lymph node metastasis of early-stage cervical cancer.	0	0	1	1	0	0	0
AC026166.2-001	MTCO1P5	NA	ENSG00000233026	NA	GRCh38_3:12165299-12165642	laryngeal squamous cell cancer	C32.3	NA	microarray, qPCR etc.	LSCC tissues	down-regulated	AC026166.2-001 and RP11-169D4.1-001 were distinctly dysregulated, with AC026166.2-001 exhibiting lower expression in cancer tissues and RP11-169D4.1-001 higher expression. We verified that both AC026166.2-001 and RP11-169D4.1-001 were expressed at a lower level in cervical lymph nodes compared with paired laryngeal cancer tissues and paired normal tissues. RP11-169D4.1-001 levels were positively correlated with lymph node metastasis.	25243407	2014	Long non-coding RNA profiling in laryngeal squamous cell carcinoma and its clinical significance: potential biomarkers for LSCC.	0	0	1	1	0	0	1
AC026166.2-001	MTCO1P5	NA	ENSG00000233026	NA	GRCh38_3:12165299-12165642	laryngeal squamous cell cancer	C32.3	NA	Microarray, qPCR, Western blot, Luciferase reporter assay, knockdown	The LSCC cell line (AMC-HN-8, TU-212), xenograft tumor tissues	down-regulated	AC026166.2-001 inhibited LSCC cell proliferation and the clone-forming capacity.Cell cycle distribution and related protein changes were measured by flow cytometry. AC026166.2-001 arrested the cell cycle at the G1 phase and induced apoptosis. In addition, AC026166.2-001 decreased cell migration as measured by wound healing assays and transwell migration assays. Moreover, luciferase reporter assay and Western blotting results suggested that AC026166. 2-001 acts as a sponge of miR-24-3p and regulates the expression of p27 and cyclin D1. The in vivo results showed that AC026166.2-001 significantly suppressed the growth of LSCC xenografts and promoted apoptosis.overexpression of miR-24-3p significantly reduced the luciferase activity of AC026166.2-001 WT GP-miRGLO vectors but not of AC026166.2-001 MUT. Next, AC026166. 2-001 may act as a sponge for miR-24-3p. Quantitative RT-PCR was used to test our assumption and we found that miR-24-3p was down-regulated by AC026166.2-001.	29463827	2018	Long non-coding RNA AC026166.2-001 inhibits cell proliferation and migration in laryngeal squamous cell carcinoma by regulating the miR-24-3p/p27 axis.	0	0	1	1	0	0	0
AC026904.1	NA	NA	NA	NA	NA	breast cancer	C50	NA	Microarray, qPCR, RIP, Luciferase reporter assay etc.	breast cancer tissue, cell line MDA-MB-231-luc-D3H2LN	up-regulated	We observed that TGF-B induced genome-wide changes in lncRNA levels in breast cancer cells, among which AC026904.1 and UCA1 were highly expressed in metastatic breast cancer and closely associated with poor prognosis.	29774079	2018	Long non-coding RNAs AC026904.1 and UCA1: a “one-two punch” for TGFB-induced SNAI2 activation and epithelial-mesenchymal transition in breast cancer	0	0	1	0	0	0	0
AC079776.2	AC079776.1	105373615	ENSG00000250207	NR_149127	GRCh38_2:129825126-129877553	lung adenocarcinoma	C34	M8140/3	microarray, qPCR etc.	lung adenocarcinoma tissues	down-regulated	We initially identified a number of interesting candidate lncRNAs for further analysis. Of these, LOC100132354 and RPLP0P2 exhibited the most significantly changed expression in our analysis of 100 pairs of lung adenocarcinoma and normal lung tissue samples. The expression of LOC100132354 was significantly higher in lung adenocarcinoma than in the adjacent tissues, while the expression of RPLP0P2 was significantly lower in lung adenocarcinoma than in the adjacent tissues.	25089627	2014	Long noncoding RNA expression profiles of lung adenocarcinoma ascertained by microarray analysis.	0	0	1	0	0	0	0
AC090952.4.1	RHBDF1P1	NA	ENSG00000234123	NA	GRCh38_3:14572852-14574792	non small cell lung cancer	C34	M8046/3	microarray, qPCR, RNAi, Western blot etc.	cell lines (A549, CDDP etc.)	down-regulated	For lncRNA, the results showed that AK123263, CES1P1-001, RP3-508I15.14, AK126698, TP53TG1, and AC090952.4.1 decreased, whereas uc003bgl.1 and NCRNA00210 increased in A549/CDDP. Cisplatin resistance in non-small-cell lung cancer cells may relate to the changes in noncoding RNAs. Among these, AK126698 appears to confer cisplatin resistance by targeting the Wnt pathway.	23741487	2013	The noncoding RNA expression profile and the effect of lncRNA AK126698 on cisplatin resistance in non-small-cell lung cancer cell.	1	0	1	1	1	0	1
AC092171.4	RP11-1275H24.2	NA	ENSG00000272953	NA	GRCh38_7:5475804-5479811	hepatocellular carcinoma	C22.0	M8170/3	RNA-seq, qPCR etc.	cell lines (BEL-7402, HLF, HLE, HepG2, HepG2.2.15, Huh-1, Huh-7, PLC/PRF/5, Hep3B, and SK-Hep-1)	up-regulated	All five lncRNAs were highly up-regulated in all of the cancer cell lines. AC092171.4 was expressed at a higher level in HLE, HepG2, Huh-1, and Hep3B.	27499103	2016	Preliminary investigation of five novel long non-coding RNAs in hepatocellular carcinoma cell lines.	0	0	0	0	0	0	0
AC093818.1	NA	NA	NA	NA	GRCh38_2:172480840-172556596	high grade ovarian serous cancer	C56	M8841/0	Microarray, qPCR etc	high-grade ovarian serous cancer tissues	up-regulated	The results demonstrated that FAS-AS1, AK130076, RP11-199F11.2 and AC093818.1 were upregulated and GTSE1-AS5 was downregulated in high-grade ovarian serous cancer tissues compared with healthy fallopian tube tissues. 	29577163	2018	Gene microarray analysis of lncRNA and mRNA expression profiles in patients with high-grade ovarian serous cancer.	0	0	0	0	0	0	0
AC093850.2	NA	NA	NA	NA	GRCh38_2:215718043-215719424	esophageal squamous cell cancer	NA	NA	RNA-seq, Microarray,  qPCR, in vitro knockdown	ESCC tissues, Human esophageal cancer cell lines (KYSE150,KYSE180, KYSE450, KYSE70, KYSE140 and TE3)	up-regulated	A novel three-lncRNA signature, comprised of RP11-366H4.1.1 (ENSG00000248370), LINC00460 (ENSG00000233532) and AC093850.2 (ENSG00000230838), was identified. The signature classified patients into high-risk and low-risk groups with different overall survival (OS) and disease-free survival (DFS). The signature indicates that patients in the high-risk group show poor OS and DFS, whereas patients with a low-risk group show significantly better outcome. The independence of the signature was validated by multivariable Cox regression analysis. GO and KEGG pathway analysis for 588 protein-coding genes-associated with the three lncRNAs indicated that the three lncRNAs were involved in tumorigenesis. In vitro assays further demonstrated that the three lncRNAs promoted the migration and proliferation of ESCC cells.	29409459	2018	A three-lncRNA signature predicts overall survival and disease-free survival in patients with esophageal squamous cell carcinoma.	0	0	1	0	0	0	0
AC100830.4	NA	NA	NA	NA	GRCh38_15:64695041-64695594	gastric cancer	C16	NA	qPCR etc.	cell lines (SGC-7901, MGC-803, MKN-45, HGC-27 and GES-2)	up-regulated	We identified three lncRNAs, CTC-501O10.1, AC100830.4 and RP11-210K20.5 that were up-regulated in the plasma of GC patients with AUCs 0.724, 0.730 and 0.737, respectively (P < .02).	29700972	2018	A panel consisting of three novel circulating lncRNAs, is it a predictive tool for gastric cancer.	0	1	0	0	0	0	0
AC103563.9	AC103563.9	NA	NA	NA	GRCh38_2:95051395-95053176	esophageal squamous cell cancer	NA	NA	microarray, qPCR etc.	ESCC tissues	down-regulated	Based on the fold change, significance, and number of transcripts, three upregulated lncRNAs (RP11-334E6.12, DNM3OS, and RP11-150O12.6) and three downregulated lncRNAs (AC103563.9, RP11-7K24.3, and RP11-351J23.1) with only one transcript were chosen as candidates for further validation. The results of qRT-PCR were consistent with the RNA sequencing data.	27449043	2016	Transcriptome profiling of lncRNA and co-expression networks in esophageal squamous cell carcinoma by RNA sequencing.	0	0	1	0	0	0	0
AC104699.1	AC104699.1	NA	ENSG00000224220	NA	GRCh38_2:25421117-25427643	gastric cancer	C16	NA	microarray, qPCR etc.	gastric cancer tissues	up-regulated	The expression levels of six up-regulated lncRNAs (XLOC_010235, CACNAICAS3, INTS7, AC104699.1, TSNAX-DISC1, and PRSS21) and six down-regulated lncRNAs (RP11-789C1.1, RP11-528G1.2, MYLK-AS1, RP11-643M14.1, GS1-5L10.1, and AP001439.2) were determined by using qPCR.	26045391	2015	Identification of differentially expressed signatures of long non-coding RNAs associated with different metastatic potentials in gastric cancer.	0	0	1	1	0	0	0
